Agent Name,MC1,
(citizen 26),X,
(citizen 29),X,
(citizen 51),X,
(citizen 52),X,
(citizen 15),X,
(citizen 21),X,
(citizen 28),X,
(citizen 9),X,
(citizen 31),X,
(citizen 30),X,
(citizen 25),X,
(media 327),X,
(citizen 64),X,
(citizen 43),X,
(citizen 17),X,
(citizen 19),X,
(media 321),X,
(citizen 41),X,
(citizen 8),X,
(citizen 67),X,
(media 325),X,
(citizen 63),X,
(citizen 53),X,
(citizen 18),X,
(citizen 73),X,
(citizen 23),X,
(citizen 45),X,
(citizen 16),X,
(citizen 11),X,
(citizen 1),X,
(citizen 6),X,
(citizen 47),X,
(citizen 12),X,
(citizen 0),X,
(citizen 35),X,
(citizen 14),X,
(citizen 36),X,
(citizen 58),X,
(citizen 40),X,
(citizen 20),X,
(citizen 69),X,
(citizen 4),X,
(media 318),X,
(citizen 13),X,
(citizen 24),X,
(citizen 95),X,
